Baumart;LateinischerName;Kürzel;Alter;Baumhöhe;BHD;Kronenbreite;Kronenansatzhöhe;AGB;Kohlenstoffgehalt;image;
Linde;Tilia spp.;Ti spp.;25;6.79;12.04;6.47;1.56;30.8;15.29;default-tree.png;
Linde;Tilia spp.;Ti spp.;30;7.75;14.48;6.83;1.63;48.48;24.07;default-tree.png;
Linde;Tilia spp.;Ti spp.;35;8.65;16.9;7.16;1.69;70.84;35.17;default-tree.png;
Linde;Tilia spp.;Ti spp.;40;9.49;19.3;7.45;1.74;98.06;48.68;default-tree.png;
Linde;Tilia spp.;Ti spp.;45;10.27;21.67;7.71;1.78;130.29;64.69;default-tree.png;
Linde;Tilia spp.;Ti spp.;50;11.0;24.01;7.95;1.82;167.66;83.24;default-tree.png;
Linde;Tilia spp.;Ti spp.;55;11.68;26.33;8.18;1.86;210.24;104.38;default-tree.png;
Linde;Tilia spp.;Ti spp.;60;12.32;28.63;8.38;1.89;258.09;128.14;default-tree.png;
Linde;Tilia spp.;Ti spp.;65;12.92;30.89;8.58;1.92;311.23;154.53;default-tree.png;
Linde;Tilia spp.;Ti spp.;70;13.49;33.14;8.76;1.95;369.69;183.55;default-tree.png;
Linde;Tilia spp.;Ti spp.;75;14.02;35.36;8.93;1.97;433.44;215.2;default-tree.png;
Linde;Tilia spp.;Ti spp.;80;14.52;37.55;9.1;2.0;502.47;249.48;default-tree.png;
Linde;Tilia spp.;Ti spp.;85;15.0;39.72;9.25;2.02;576.73;286.35;default-tree.png;
Linde;Tilia spp.;Ti spp.;90;15.46;41.87;9.4;2.04;656.17;325.79;default-tree.png;
Linde;Tilia spp.;Ti spp.;95;15.9;43.99;9.54;2.06;740.72;367.77;default-tree.png;
Linde;Tilia spp.;Ti spp.;100;16.32;46.08;9.67;2.08;830.29;412.24;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;1;0.02;0.31;0.56;0.01;0.0;0.0;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;2;0.07;0.94;1.1;35;0.07;0.04;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;3;0.65;1.56;1.51;0.32;0.26;0.13;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;4;1.21;2.18;1.86;0.65;0.59;0.29;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;5;1.77;2.8;2.17;1.14;1.1;0.54;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;6;2.32;3.41;2.45;1.15;1.81;0.88;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;7;2.85;4.02;2.71;1.17;2.73;1.33;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;8;3.38;4.63;2.96;1.18;3.88;1.89;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;9;3.9;5.24;3.19;1.2;5.27;2.56;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;10;4.4;5.85;3.42;1.21;6.92;3.37;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;15;6.79;8.84;4.41;1.28;19.33;9.4;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;20;8.94;11.77;5.26;1.35;39.41;19.18;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;25;10.88;14.64;6.02;1.42;67.84;33.01;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;30;12.61;17.44;6.71;1.49;105.01;51.09;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;35;14.15;20.19;7.35;1.56;151.14;73.54;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;40;15.52;22.88;7.94;1.62;206.3;100.37;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;45;16.73;25.51;8.49;1.69;270.42;131.57;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;50;17.79;28.08;9.01;1.75;343.34;167.05;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;55;18.72;30.59;9.5;1.81;424.83;206.7;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;60;19.53;33.04;9.97;1.87;514.58;250.37;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;65;20.24;35.43;10.41;1.93;612.22;297.87;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;70;20.86;37.76;10.82;1.98;717.32;349.01;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;75;21.4;40.03;11.22;2.04;829.44;403.56;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;80;21.88;42.24;11.6;2.09;948.07;461.28;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;85;22.32;44.39;11.96;2.14;1072.7;521.92;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;90;22.72;46.48;12.31;2.19;1202.77;585.21;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;95;23.1;48.51;12.64;2.24;1337.73;650.87;default-tree.png;
Gemeine Esche;Fraxinus excelsior;Fr ex;100;23.48;50.48;12.95;2.29;1476.98;718.62;default-tree.png;
